source	gene ID	gene name	orthologs
InParanoid	DDB_G0282623	wdr3	A.thaliana:At3g21540 | C.elegans:CE27127 | D.melanogaster:FBpp0082995 | H.sapiens:ENSP00000308179 | M.musculus:ENSMUSP00000060613 | S.cerevisiae S288c:YLR129W
JGI/Baylor Sequencing Project	DDB_G0282623	wdr3	D.purpureum:DPU_G0072410
JGI/Baylor Sequencing Project	DDB_G0282631	DDB_G0282631	D.purpureum:DPU_G0070856
JGI/Baylor Sequencing Project	DDB_G0285397	DDB_G0285397	D.purpureum:DPU_G0064264
OrthoMCL	DDB_G0283119	xpot	M.musculus:ENSMUSP00000043488 | C.elegans:WBGene00002080 | H.sapiens:ENSP00000327821 | A.thaliana:NP_001077813 | A.thaliana:NP_177400 | S.cerevisiae S288c:YKL205W
InParanoid	DDB_G0283119	xpot	A.thaliana:At1g72560 | C.elegans:CE29726 | H.sapiens:ENSP00000327821 | M.musculus:ENSMUSP00000043488 | S.cerevisiae S288c:YKL205W
JGI/Baylor Sequencing Project	DDB_G0283119	xpot	D.purpureum:DPU_G0059184
JGI/Baylor Sequencing Project	DDB_G0283253	DDB_G0283253	D.purpureum:DPU_G0056268
JGI/Baylor Sequencing Project	DDB_G0285885	DDB_G0285885_ps	D.purpureum:DPU_G0066896
OrthoMCL	DDB_G0284149	DDB_G0284149	M.musculus:ENSMUSP00000064926 | H.sapiens:ENSP00000268719 | A.thaliana:NP_181304 | S.cerevisiae S288c:YGR066C | S.cerevisiae S288c:YBR105C
InParanoid	DDB_G0284149	DDB_G0284149	A.thaliana:At2g37680 | H.sapiens:ENSP00000268719 | M.musculus:ENSMUSP00000064926 | S.cerevisiae S288c:YBR105C
JGI/Baylor Sequencing Project	DDB_G0287061	DDB_G0287061	D.purpureum:DPU_G0051548
JGI/Baylor Sequencing Project	DDB_G0287069	DDB_G0287069	D.purpureum:DPU_G0051604
OrthoMCL	DDB_G0285437	DDB_G0285437	A.thaliana:NP_568352 | S.cerevisiae S288c:YMR262W
InParanoid	DDB_G0285437	DDB_G0285437	A.thaliana:At5g17570 | S.cerevisiae S288c:YMR262W
JGI/Baylor Sequencing Project	DDB_G0285437	DDB_G0285437	D.purpureum:DPU_G0066674
JGI/Baylor Sequencing Project	DDB_G0283733	DDB_G0283733	D.purpureum:DPU_G0059160
OrthoMCL	DDB_G0283835	rae1	M.musculus:ENSMUSP00000029013 | C.elegans:WBGene00003803 | H.sapiens:ENSP00000379182 | A.thaliana:NP_178182 | S.cerevisiae S288c:YER107C | D.melanogaster:FBpp0071600
InParanoid	DDB_G0283835	rae1	A.thaliana:At1g80670 | C.elegans:CE09338 | D.melanogaster:FBpp0071600 | H.sapiens:ENSP00000379182 | M.musculus:ENSMUSP00000029013 | S.cerevisiae S288c:YER107C
JGI/Baylor Sequencing Project	DDB_G0283835	rae1	D.purpureum:DPU_G0063502
OrthoMCL	DDB_G0283931	pks23	H.sapiens:ENSP00000304592 | D.melanogaster:FBpp0077342 | D.melanogaster:FBpp0112461 | D.melanogaster:FBpp0288532 | M.musculus:ENSMUSP00000052872 | C.elegans:WBGene00009342
OrthoMCL	DDB_G0285111	snpA	M.musculus:ENSMUSP00000006181 | M.musculus:ENSMUSP00000028926 | C.elegans:WBGene00017016 | H.sapiens:ENSP00000263354 | H.sapiens:ENSP00000401258 | A.thaliana:NP_191178 | A.thaliana:NP_001030872 | S.cerevisiae S288c:YBL050W | D.melanogaster:FBpp0074609
InParanoid	DDB_G0285111	snpA	A.thaliana:At3g56190 | C.elegans:CE38494 | D.melanogaster:FBpp0074609 | H.sapiens:ENSP00000366225 | M.musculus:ENSMUSP00000028926 | S.cerevisiae S288c:YBL050W
JGI/Baylor Sequencing Project	DDB_G0285111	snpA	D.purpureum:DPU_G0063610
JGI/Baylor Sequencing Project	DDB_G0284613	D7	D.purpureum:DPU_G0064152
JGI/Baylor Sequencing Project	DDB_G0284619	DDB_G0284619	D.purpureum:DPU_G0070542
JGI/Baylor Sequencing Project	DDB_G0282477	DDB_G0282477	D.purpureum:DPU_G0056950
OrthoMCL	DDB_G0281937	DDB_G0281937	A.thaliana:NP_201456 | A.thaliana:NP_199091
InParanoid	DDB_G0281937	DDB_G0281937	A.thaliana:At5g42770 | E.coli K-12:NP_415605
JGI/Baylor Sequencing Project	DDB_G0281937	DDB_G0281937	D.purpureum:DPU_G0060704
OrthoMCL	DDB_G0287365	DDB_G0287365	M.musculus:ENSMUSP00000025663 | M.musculus:ENSMUSP00000102907 | H.sapiens:ENSP00000220244 | H.sapiens:ENSP00000366266
InParanoid	DDB_G0287365	DDB_G0287365	M.musculus:ENSMUSP00000102907
JGI/Baylor Sequencing Project	DDB_G0287365	DDB_G0287365	D.purpureum:DPU_G0060930
OrthoMCL	DDB_G0287367	DDB_G0287367	M.musculus:ENSMUSP00000015663 | H.sapiens:ENSP00000328069
JGI/Baylor Sequencing Project	DDB_G0287367	DDB_G0287367	D.purpureum:DPU_G0061564
JGI/Baylor Sequencing Project	DDB_G0286323	DDB_G0286323	D.purpureum:DPU_G0051490
JGI/Baylor Sequencing Project	DDB_G0286905	pspE	D.purpureum:DPU_G0056820
OrthoMCL	DDB_G0283971	DDB_G0283971	M.musculus:ENSMUSP00000025250 | A.thaliana:NP_197909 | A.thaliana:NP_199037 | H.sapiens:ENSP00000384494 | H.sapiens:ENSP00000387358 | H.sapiens:ENSP00000387431 | H.sapiens:ENSP00000390835 | H.sapiens:ENSP00000395190 | H.sapiens:ENSP00000402148 | H.sapiens:ENSP00000414234 | D.melanogaster:FBpp0288465
InParanoid	DDB_G0283971	DDB_G0283971	H.sapiens:ENSP00000384494 | M.musculus:ENSMUSP00000025250
JGI/Baylor Sequencing Project	DDB_G0283971	DDB_G0283971	D.purpureum:DPU_G0063514
OrthoMCL	DDB_G0284489	pdkB	M.musculus:ENSMUSP00000099991 | C.elegans:WBGene00021022 | C.elegans:WBGene00003965 | H.sapiens:ENSP00000344220 | H.sapiens:ENSP00000371763 | A.thaliana:NP_187665 | A.thaliana:NP_568138 | A.thaliana:NP_974730 | D.melanogaster:FBpp0072366 | S.cerevisiae S288c:YDR490C | S.cerevisiae S288c:YOL100W
InParanoid	DDB_G0284489	pdkB	D.melanogaster:FBpp0072366 | H.sapiens:ENSP00000344220 | M.musculus:ENSMUSP00000099991 | S.cerevisiae S288c:YOL100W
JGI/Baylor Sequencing Project	DDB_G0284489	pdkB	D.purpureum:DPU_G0056736
JGI/Baylor Sequencing Project	DDB_G0285161	dagA	D.purpureum:DPU_G0058982
OrthoMCL	DDB_G0287291	abpD	M.musculus:ENSMUSP00000070533 | H.sapiens:ENSP00000358718 | D.melanogaster:FBpp0084479 | D.melanogaster:FBpp0084500 | D.melanogaster:FBpp0112616
InParanoid	DDB_G0287291	abpD	C.elegans:CE30159 | D.melanogaster:FBpp0074228 | H.sapiens:ENSP00000323856 | M.musculus:ENSMUSP00000073124
JGI/Baylor Sequencing Project	DDB_G0287291	abpD	D.purpureum:DPU_G0051436
OrthoMCL	DDB_G0288133	DDB_G0288133	M.musculus:ENSMUSP00000039110 | C.elegans:WBGene00006924 | A.thaliana:NP_001078399 | A.thaliana:NP_001078400 | A.thaliana:NP_193416 | A.thaliana:NP_001078723 | A.thaliana:NP_001078724 | A.thaliana:NP_199532 | A.thaliana:NP_193485 | H.sapiens:ENSP00000360034 | S.cerevisiae S288c:YLR150W | D.melanogaster:FBpp0080278 | D.melanogaster:FBpp0084150
InParanoid	DDB_G0288133	DDB_G0288133	A.thaliana:At4g16830
JGI/Baylor Sequencing Project	DDB_G0288133	DDB_G0288133	D.purpureum:DPU_G0063108
JGI/Baylor Sequencing Project	DDB_G0286249	DDB_G0286249	D.purpureum:DPU_G0060606
OrthoMCL	DDB_G0288551	DDB_G0288551	M.musculus:ENSMUSP00000075573 | C.elegans:WBGene00014165 | H.sapiens:ENSP00000380982 | A.thaliana:NP_566559 | S.cerevisiae S288c:YDR496C | D.melanogaster:FBpp0076918
InParanoid	DDB_G0288551	DDB_G0288551	A.thaliana:At3g16810 | C.elegans:CE01734 | D.melanogaster:FBpp0076918 | H.sapiens:ENSP00000380982 | M.musculus:ENSMUSP00000075573 | S.cerevisiae S288c:YDR496C
JGI/Baylor Sequencing Project	DDB_G0288551	DDB_G0288551	D.purpureum:DPU_G0060444
OrthoMCL	DDB_G0286277	DDB_G0286277	H.sapiens:ENSP00000354098 | A.thaliana:NP_181982 | A.thaliana:NP_181983 | A.thaliana:NP_181984 | A.thaliana:NP_181985 | A.thaliana:NP_175323 | A.thaliana:NP_176621 | A.thaliana:NP_192843 | A.thaliana:NP_180858
JGI/Baylor Sequencing Project	DDB_G0287169	DDB_G0287169	D.purpureum:DPU_G0069846
OrthoMCL	DDB_G0287757	DDB_G0287757	M.musculus:ENSMUSP00000025290 | C.elegans:WBGene00013122 | H.sapiens:ENSP00000284202 | S.cerevisiae S288c:YCR059C
InParanoid	DDB_G0287757	DDB_G0287757	C.elegans:CE20291 | H.sapiens:ENSP00000284202 | M.musculus:ENSMUSP00000025290 | S.cerevisiae S288c:YCR059C
JGI/Baylor Sequencing Project	DDB_G0287757	DDB_G0287757	D.purpureum:DPU_G0053604
OrthoMCL	DDB_G0287759	DDB_G0287759	S.cerevisiae S288c:YER072W
JGI/Baylor Sequencing Project	DDB_G0287759	DDB_G0287759	D.purpureum:DPU_G0053706
OrthoMCL	DDB_G0287763	DDB_G0287763	M.musculus:ENSMUSP00000029565 | C.elegans:WBGene00019300 | C.elegans:WBGene00012647 | C.elegans:WBGene00016922 | H.sapiens:ENSP00000357389 | A.thaliana:NP_194231 | A.thaliana:NP_199893 | A.thaliana:NP_176849 | A.thaliana:NP_567366 | A.thaliana:NP_196821 | A.thaliana:NP_181439 | A.thaliana:NP_188291 | A.thaliana:NP_193327 | A.thaliana:NP_190443 | A.thaliana:NP_197755 | D.melanogaster:FBpp0087900
InParanoid	DDB_G0287763	DDB_G0287763	A.thaliana:At3g14770 | C.elegans:CE33218 | D.melanogaster:FBpp0087900 | H.sapiens:ENSP00000357389 | M.musculus:ENSMUSP00000029565
JGI/Baylor Sequencing Project	DDB_G0287763	DDB_G0287763	D.purpureum:DPU_G0075870
OrthoMCL	DDB_G0287765	DDB_G0287765	C.elegans:WBGene00021066 | E.coli K-12:AP_003630 | A.thaliana:NP_172411
InParanoid	DDB_G0287765	DDB_G0287765	A.thaliana:At2g06050 | A.thaliana:At1g76690 | S.cerevisiae S288c:YPL171C
InParanoid	DDB_G0287775	DDB_G0287775	A.thaliana:At1g12700
JGI/Baylor Sequencing Project	DDB_G0287775	DDB_G0287775	D.purpureum:DPU_G0058214
OrthoMCL	DDB_G0288249	mkpA	C.elegans:WBGene00021867 | H.sapiens:ENSP00000346160
JGI/Baylor Sequencing Project	DDB_G0288249	mkpA	D.purpureum:DPU_G0053104
OrthoMCL	DDB_G0289379	syn1A	M.musculus:ENSMUSP00000005509 | M.musculus:ENSMUSP00000031378 | M.musculus:ENSMUSP00000069529 | M.musculus:ENSMUSP00000101874 | C.elegans:WBGene00006798 | H.sapiens:ENSP00000222812 | H.sapiens:ENSP00000342554 | H.sapiens:ENSP00000338562 | H.sapiens:ENSP00000215095 | A.thaliana:NP_187030 | A.thaliana:NP_192242 | A.thaliana:NP_568187 | A.thaliana:NP_172591 | A.thaliana:NP_176324 | S.cerevisiae S288c:YMR183C | S.cerevisiae S288c:YPL232W | D.melanogaster:FBpp0083973
InParanoid	DDB_G0289379	syn1A	C.elegans:CE16127 | D.melanogaster:FBpp0083973 | H.sapiens:ENSP00000222812 | M.musculus:ENSMUSP00000005509 | S.cerevisiae S288c:YMR183C
JGI/Baylor Sequencing Project	DDB_G0289379	syn1A	D.purpureum:DPU_G0070634
OrthoMCL	DDB_G0286517	mlysS	M.musculus:ENSMUSP00000090808 | C.elegans:WBGene00002238 | H.sapiens:ENSP00000325448 | S.cerevisiae S288c:YDR037W | E.coli K-12:AP_003449 | E.coli K-12:AP_004631 | A.thaliana:NP_187777 | A.thaliana:NP_187958 | D.melanogaster:FBpp0071302
JGI/Baylor Sequencing Project	DDB_G0286517	mlysS	D.purpureum:DPU_G0072040
JGI/Baylor Sequencing Project	DDB_G0290351	DDB_G0290351	D.purpureum:DPU_G0068294
OrthoMCL	DDB_G0286929	DDB_G0286929	M.musculus:ENSMUSP00000085555 | M.musculus:ENSMUSP00000042796 | C.elegans:WBGene00019724 | C.elegans:WBGene00019825 | H.sapiens:ENSP00000314073 | H.sapiens:ENSP00000361331 | S.cerevisiae S288c:YOL102C | E.coli K-12:AP_004823 | A.thaliana:NP_001031541 | A.thaliana:NP_182058 | A.thaliana:NP_197750 | D.melanogaster:FBpp0076401
InParanoid	DDB_G0286929	DDB_G0286929	A.thaliana:At2g45330 | D.melanogaster:FBpp0076401 | E.coli K-12:NP_418751 | H.sapiens:ENSP00000314073 | M.musculus:ENSMUSP00000085555 | S.cerevisiae S288c:YOL102C
JGI/Baylor Sequencing Project	DDB_G0286929	DDB_G0286929	D.purpureum:DPU_G0069842
InParanoid	DDB_G0286555	racA	A.thaliana:At2g04740 | D.melanogaster:FBpp0077843 | H.sapiens:ENSP00000251822 | M.musculus:ENSMUSP00000022665
JGI/Baylor Sequencing Project	DDB_G0286555	racA	D.purpureum:DPU_G0066986
JGI/Baylor Sequencing Project	DDB_G0290675	DDB_G0290675	D.purpureum:DPU_G0064662
OrthoMCL	DDB_G0287197	ncbp2	M.musculus:ENSMUSP00000023460 | C.elegans:WBGene00009141 | H.sapiens:ENSP00000326806 | A.thaliana:NP_001078705 | A.thaliana:NP_199233 | S.cerevisiae S288c:YPL178W | D.melanogaster:FBpp0082973
InParanoid	DDB_G0287197	ncbp2	A.thaliana:At5g44200 | C.elegans:CE09667 | D.melanogaster:FBpp0082973 | H.sapiens:ENSP00000326806 | M.musculus:ENSMUSP00000023460
JGI/Baylor Sequencing Project	DDB_G0287197	ncbp2	D.purpureum:DPU_G0056830
OrthoMCL	DDB_G0284731	DDB_G0284731	M.musculus:ENSMUSP00000034964 | C.elegans:WBGene00017738 | H.sapiens:ENSP00000261881 | A.thaliana:NP_186931 | S.cerevisiae S288c:YMR048W | D.melanogaster:FBpp0271702
JGI/Baylor Sequencing Project	DDB_G0284731	DDB_G0284731	D.purpureum:DPU_G0053654
JGI/Baylor Sequencing Project	DDB_G0290215	DDB_G0290215	D.purpureum:DPU_G0075840
OrthoMCL	DDB_G0289247	apm1	M.musculus:ENSMUSP00000003117 | M.musculus:ENSMUSP00000111093 | C.elegans:WBGene00000150 | C.elegans:WBGene00006829 | H.sapiens:ENSP00000388124 | H.sapiens:ENSP00000388996 | A.thaliana:NP_172543 | A.thaliana:NP_176277 | S.cerevisiae S288c:YPL259C | D.melanogaster:FBpp0081592
InParanoid	DDB_G0289247	apm1	A.thaliana:At1g60780 | C.elegans:CE28050 | D.melanogaster:FBpp0081592 | H.sapiens:ENSP00000291439 | M.musculus:ENSMUSP00000003117 | S.cerevisiae S288c:YPL259C
JGI/Baylor Sequencing Project	DDB_G0289247	apm1	D.purpureum:DPU_G0070332
JGI/Baylor Sequencing Project	DDB_G0286447	DDB_G0286447	D.purpureum:DPU_G0068462
InParanoid	DDB_G0288535	DDB_G0288535	D.melanogaster:FBpp0113090 | D.melanogaster:FBpp0087664
OrthoMCL	DDB_G0286691	DDB_G0286691	M.musculus:ENSMUSP00000101665 | C.elegans:WBGene00011181 | C.elegans:WBGene00022808 | E.coli K-12:AP_002578 | A.thaliana:NP_001032093 | A.thaliana:NP_001032094 | A.thaliana:NP_200630 | D.melanogaster:FBpp0087336
InParanoid	DDB_G0286691	DDB_G0286691	C.elegans:CE34083 | D.melanogaster:FBpp0087336 | E.coli K-12:NP_416479 | H.sapiens:ENSP00000237014 | M.musculus:ENSMUSP00000101665
JGI/Baylor Sequencing Project	DDB_G0286691	DDB_G0286691	D.purpureum:DPU_G0067696
OrthoMCL	DDB_G0286455	nxf	M.musculus:ENSMUSP00000010241 | M.musculus:ENSMUSP00000108788 | M.musculus:ENSMUSP00000010085 | C.elegans:WBGene00003834 | H.sapiens:ENSP00000294172 | H.sapiens:ENSP00000378523 | H.sapiens:ENSP00000413087 | S.cerevisiae S288c:YPL169C | D.melanogaster:FBpp0073267 | D.melanogaster:FBpp0075502
InParanoid	DDB_G0286455	nxf	C.elegans:CE08180 | D.melanogaster:FBpp0073267 | H.sapiens:ENSP00000294172 | M.musculus:ENSMUSP00000010085 | S.cerevisiae S288c:YPL169C
JGI/Baylor Sequencing Project	DDB_G0286455	nxf	D.purpureum:DPU_G0059712
OrthoMCL	DDB_G0286705	cog7	M.musculus:ENSMUSP00000058990 | A.thaliana:NP_199956 | H.sapiens:ENSP00000305442 | D.melanogaster:FBpp0084875
InParanoid	DDB_G0286705	cog7	A.thaliana:At5g51430 | D.melanogaster:FBpp0084875 | H.sapiens:ENSP00000305442 | M.musculus:ENSMUSP00000058990
JGI/Baylor Sequencing Project	DDB_G0286705	cog7	D.purpureum:DPU_G0070776
InParanoid	DDB_G0284293	hbx10	C.elegans:CE28148 | D.melanogaster:FBpp0112474 | H.sapiens:ENSP00000295886 | M.musculus:ENSMUSP00000042716 | S.cerevisiae S288c:YML027W
JGI/Baylor Sequencing Project	DDB_G0284293	hbx10	D.purpureum:DPU_G0070146
JGI/Baylor Sequencing Project	DDB_G0290387	DDB_G0290387	D.purpureum:DPU_G0064370
OrthoMCL	DDB_G0290391	DDB_G0290391	M.musculus:ENSMUSP00000044430 | C.elegans:WBGene00010671 | H.sapiens:ENSP00000343635 | A.thaliana:NP_196244 | D.melanogaster:FBpp0079093
InParanoid	DDB_G0290391	DDB_G0290391	H.sapiens:ENSP00000217320 | M.musculus:ENSMUSP00000096743
JGI/Baylor Sequencing Project	DDB_G0290391	DDB_G0290391	D.purpureum:DPU_G0071118
OrthoMCL	DDB_G0285263	spyA	M.musculus:ENSMUSP00000045409 | C.elegans:WBGene00003858 | H.sapiens:ENSP00000362824 | A.thaliana:NP_187074 | A.thaliana:NP_187761 | A.thaliana:NP_974286 | D.melanogaster:FBpp0085420
InParanoid	DDB_G0285263	spyA	A.thaliana:At3g11540 | C.elegans:CE25042 | D.melanogaster:FBpp0085420 | H.sapiens:ENSP00000362824 | M.musculus:ENSMUSP00000045409
JGI/Baylor Sequencing Project	DDB_G0285263	spyA	D.purpureum:DPU_G0062462
InParanoid	DDB_G0284857	cdipt	A.thaliana:At4g38570 | C.elegans:CE21973 | D.melanogaster:FBpp0073874 | H.sapiens:ENSP00000219789 | M.musculus:ENSMUSP00000032920 | S.cerevisiae S288c:YPR113W
JGI/Baylor Sequencing Project	DDB_G0284857	cdipt	D.purpureum:DPU_G0060942
OrthoMCL	DDB_G0289543	ndrD	S.cerevisiae S288c:YGR092W | S.cerevisiae S288c:YPR111W
InParanoid	DDB_G0289543	ndrD	C.elegans:CE13844 | H.sapiens:ENSP00000253339
OrthoMCL	DDB_G0290801	DDB_G0290801	A.thaliana:NP_200110
InParanoid	DDB_G0290801	DDB_G0290801	A.thaliana:At5g52980 | H.sapiens:ENSP00000292114 | M.musculus:ENSMUSP00000058599
JGI/Baylor Sequencing Project	DDB_G0290801	DDB_G0290801	D.purpureum:DPU_G0061732
OrthoMCL	DDB_G0288181	hspA	M.musculus:ENSMUSP00000027123 | C.elegans:WBGene00002025 | H.sapiens:ENSP00000373620 | S.cerevisiae S288c:YLR259C | E.coli K-12:AP_004644 | A.thaliana:NP_189041 | A.thaliana:NP_566466 | A.thaliana:NP_850203 | A.thaliana:NP_001032083 | A.thaliana:NP_173947 | A.thaliana:NP_175945 | A.thaliana:NP_187956 | A.thaliana:NP_200461 | A.thaliana:NP_849811 | D.melanogaster:FBpp0073290 | D.melanogaster:FBpp0077665 | D.melanogaster:FBpp0078743
InParanoid	DDB_G0288181	hspA	A.thaliana:At3g23990 | C.elegans:CE27244 | D.melanogaster:FBpp0073290 | E.coli K-12:NP_418567 | H.sapiens:ENSP00000340019 | M.musculus:ENSMUSP00000027123 | S.cerevisiae S288c:YLR259C
JGI/Baylor Sequencing Project	DDB_G0288181	hspA	D.purpureum:DPU_G0072140
JGI/Baylor Sequencing Project	DDB_G0285279	DDB_G0285279	D.purpureum:DPU_G0064126
OrthoMCL	DDB_G0285299	DDB_G0285299	M.musculus:ENSMUSP00000025212 | M.musculus:ENSMUSP00000028815 | C.elegans:WBGene00011593 | C.elegans:WBGene00011596 | C.elegans:WBGene00020004 | C.elegans:WBGene00008252 | E.coli K-12:AP_003442 | E.coli K-12:AP_003447 | E.coli K-12:AP_001637 | E.coli K-12:AP_003083 | E.coli K-12:AP_004138 | H.sapiens:ENSP00000302851 | H.sapiens:ENSP00000368628 | A.thaliana:NP_001032127 | A.thaliana:NP_175418 | A.thaliana:NP_176211 | A.thaliana:NP_199810 | A.thaliana:NP_201094 | A.thaliana:NP_851251 | A.thaliana:NP_178636 | A.thaliana:NP_180966 | A.thaliana:NP_001078782 | A.thaliana:NP_172524 | A.thaliana:NP_973999 | A.thaliana:NP_176733 | A.thaliana:NP_197924 | A.thaliana:NP_180219 | D.melanogaster:FBpp0081718
InParanoid	DDB_G0285299	DDB_G0285299	A.thaliana:At5g62890 | A.thaliana:At2g26510 | E.coli K-12:NP_415526
JGI/Baylor Sequencing Project	DDB_G0284281	DDB_G0284281	D.purpureum:DPU_G0071286
JGI/Baylor Sequencing Project	DDB_G0286079	DDB_G0286079	D.purpureum:DPU_G0051736
JGI/Baylor Sequencing Project	DDB_G0288195	sibC	D.purpureum:DPU_G0072156
OrthoMCL	DDB_G0285909	DDB_G0285909	A.thaliana:NP_001154304 | A.thaliana:NP_171993 | A.thaliana:NP_180855 | A.thaliana:NP_567261 | S.cerevisiae S288c:YNL032W
InParanoid	DDB_G0285909	DDB_G0285909	A.thaliana:At1g05000 | S.cerevisiae S288c:YNL032W
OrthoMCL	DDB_G0284203	kynu	M.musculus:ENSMUSP00000028223 | C.elegans:WBGene00015802 | H.sapiens:ENSP00000264170 | S.cerevisiae S288c:YLR231C
InParanoid	DDB_G0284203	kynu	C.elegans:CE06835 | H.sapiens:ENSP00000264170 | M.musculus:ENSMUSP00000028223 | S.cerevisiae S288c:YLR231C
JGI/Baylor Sequencing Project	DDB_G0284203	kynu	D.purpureum:DPU_G0052724
OrthoMCL	DDB_G0285449	DDB_G0285449	M.musculus:ENSMUSP00000019701 | H.sapiens:ENSP00000359186
InParanoid	DDB_G0285449	DDB_G0285449	H.sapiens:ENSP00000355866
OrthoMCL	DDB_G0284331	regA	M.musculus:ENSMUSP00000038005 | H.sapiens:ENSP00000291539 | D.melanogaster:FBpp0289744
InParanoid	DDB_G0284331	regA	C.elegans:CE33438 | D.melanogaster:FBpp0289061 | H.sapiens:ENSP00000291539 | M.musculus:ENSMUSP00000038005
JGI/Baylor Sequencing Project	DDB_G0284331	regA	D.purpureum:DPU_G0068494
OrthoMCL	DDB_G0284861	eif5a	M.musculus:ENSMUSP00000047008 | M.musculus:ENSMUSP00000050289 | M.musculus:ENSMUSP00000098601 | C.elegans:WBGene00002065 | C.elegans:WBGene00002064 | H.sapiens:ENSP00000336702 | H.sapiens:ENSP00000295822 | A.thaliana:NP_172848 | A.thaliana:NP_177100 | A.thaliana:NP_173985 | A.thaliana:NP_001077597 | S.cerevisiae S288c:YEL034W | S.cerevisiae S288c:YJR047C | D.melanogaster:FBpp0072081
InParanoid	DDB_G0284861	eif5a	A.thaliana:At1g13950 | C.elegans:CE37787 | D.melanogaster:FBpp0072081 | H.sapiens:ENSP00000336702 | M.musculus:ENSMUSP00000047008 | S.cerevisiae S288c:YJR047C
JGI/Baylor Sequencing Project	DDB_G0284861	eif5a	D.purpureum:DPU_G0074058
OrthoMCL	DDB_G0286345	zntB	M.musculus:ENSMUSP00000037331 | C.elegans:WBGene00019077 | H.sapiens:ENSP00000255559 | S.cerevisiae S288c:YKL175W | E.coli K-12:AP_003590 | A.thaliana:NP_187477 | A.thaliana:NP_974256 | A.thaliana:NP_566669 | D.melanogaster:FBpp0087144
InParanoid	DDB_G0286345	zntB	A.thaliana:At3g20870 | C.elegans:CE11422 | D.melanogaster:FBpp0087144 | E.coli K-12:NP_417512 | H.sapiens:ENSP00000348477 | S.cerevisiae S288c:YKL175W
JGI/Baylor Sequencing Project	DDB_G0286345	zntB	D.purpureum:DPU_G0061574
OrthoMCL	DDB_G0286347	DDB_G0286347	A.thaliana:NP_182002 | A.thaliana:NP_001030642 | A.thaliana:NP_188825 | S.cerevisiae S288c:YER059W | S.cerevisiae S288c:YOL001W | S.cerevisiae S288c:YIL050W
JGI/Baylor Sequencing Project	DDB_G0286347	DDB_G0286347	D.purpureum:DPU_G0059692
JGI/Baylor Sequencing Project	DDB_G0288211	DDB_G0288211	D.purpureum:DPU_G0053092
OrthoMCL	DDB_G0284743	4cl3	M.musculus:ENSMUSP00000053276 | M.musculus:ENSMUSP00000099453 | C.elegans:WBGene00008669 | C.elegans:WBGene00018488 | C.elegans:WBGene00007228 | C.elegans:WBGene00009106 | E.coli K-12:AP_002424 | E.coli K-12:AP_002321 | E.coli K-12:AP_000701 | H.sapiens:ENSP00000401831 | A.thaliana:NP_173472 | A.thaliana:NP_173474 | A.thaliana:NP_198628 | A.thaliana:NP_564115 | A.thaliana:NP_973872 | A.thaliana:NP_192425 | A.thaliana:NP_190468 | A.thaliana:NP_175579 | A.thaliana:NP_176686 | A.thaliana:NP_188761 | A.thaliana:NP_849844 | A.thaliana:NP_001077697 | A.thaliana:NP_188760 | A.thaliana:NP_849793 | A.thaliana:NP_173473 | D.melanogaster:FBpp0073789 | D.melanogaster:FBpp0083935 | D.melanogaster:FBpp0078711 | S.cerevisiae S288c:YBR222C
InParanoid	DDB_G0284743	4cl3	E.coli K-12:NP_416319 | H.sapiens:ENSP00000300441
OrthoMCL	DDB_G0286075	rps5	M.musculus:ENSMUSP00000104179 | C.elegans:WBGene00004474 | H.sapiens:ENSP00000196551 | A.thaliana:NP_001031502 | A.thaliana:NP_181264 | A.thaliana:NP_187800 | A.thaliana:NP_850564 | S.cerevisiae S288c:YJR123W | D.melanogaster:FBpp0074180 | D.melanogaster:FBpp0082465
InParanoid	DDB_G0286075	rps5	A.thaliana:At3g11940 | C.elegans:CE06360 | D.melanogaster:FBpp0074180 | H.sapiens:ENSP00000196551 | M.musculus:ENSMUSP00000104179 | S.cerevisiae S288c:YJR123W
JGI/Baylor Sequencing Project	DDB_G0286075	rps5	D.purpureum:DPU_G0059650
OrthoMCL	DDB_G0287405	DDB_G0287405	M.musculus:ENSMUSP00000092672 | H.sapiens:ENSP00000359609
InParanoid	DDB_G0287405	DDB_G0287405	H.sapiens:ENSP00000359601 | M.musculus:ENSMUSP00000092672
JGI/Baylor Sequencing Project	DDB_G0287405	DDB_G0287405	D.purpureum:DPU_G0064734
OrthoMCL	DDB_G0287439	DDB_G0287439	M.musculus:ENSMUSP00000089808 | H.sapiens:ENSP00000266673 | A.thaliana:NP_568386 | A.thaliana:NP_565184 | A.thaliana:NP_974171 | D.melanogaster:FBpp0075599
InParanoid	DDB_G0287439	DDB_G0287439	A.thaliana:At5g19930 | D.melanogaster:FBpp0075599 | H.sapiens:ENSP00000266673 | M.musculus:ENSMUSP00000089808
JGI/Baylor Sequencing Project	DDB_G0287439	DDB_G0287439	D.purpureum:DPU_G0063140
InParanoid	DDB_G0284753	DDB_G0284753	C.elegans:CE01559 | C.elegans:CE42840
JGI/Baylor Sequencing Project	DDB_G0284881	DDB_G0284881	D.purpureum:DPU_G0075740
OrthoMCL	DDB_G0287467	gluS	C.elegans:WBGene00001337 | A.thaliana:NP_850874 | S.cerevisiae S288c:YGL245W
InParanoid	DDB_G0287467	gluS	A.thaliana:At5g26710 | C.elegans:CE06580 | S.cerevisiae S288c:YGL245W
