Ensembl Protein ID	HGNC ID(s)	UniProt/SwissProt Accession	UniProt/SwissProt ID
ENSP00000375908	26084	Q7Z2X4	PCLI1_HUMAN
ENSP00000438776	49		
ENSP00000424870	11300	P09132	SRP19_HUMAN
ENSP00000346979	8845		
ENSP00000387317	843	P48201	AT5G3_HUMAN
ENSP00000283937	26084	Q7Z2X4	PCLI1_HUMAN
ENSP00000458055	11474	Q15526	SURF1_HUMAN
ENSP00000382049	3046	P57054	PIGP_HUMAN
ENSP00000463369	8845		
ENSP00000438228	26084		
ENSP00000340971	23950	Q96LI6	HSFY1_HUMAN
ENSP00000433227	7545		
ENSP00000356682	30750		
ENSP00000386518	14219		
ENSP00000388372	3046		
ENSP00000367973	16511		
ENSP00000329384	14900	Q9GZX6	IL22_HUMAN
ENSP00000464696	8845		
ENSP00000455785	22234	Q8WZ19	BACD1_HUMAN
ENSP00000368917	4204	Q8N0V5	GNT2A_HUMAN
ENSP00000414650	14219		
ENSP00000219919	643	O43315	AQP9_HUMAN
ENSP00000446549	2600		
ENSP00000403387	7545		
ENSP00000390218	15973	Q86UW9	DTX2_HUMAN
ENSP00000386995	14219	Q96PK6	RBM14_HUMAN
ENSP00000432210	11386		
ENSP00000376324	843	P48201	AT5G3_HUMAN
ENSP00000459104	22234		
ENSP00000282999	11300	P09132	SRP19_HUMAN
ENSP00000302108	8598	Q8TE04	PANK1_HUMAN
ENSP00000254442	13490	Q9Y4E6	WDR7_HUMAN
ENSP00000454282	22234		
ENSP00000441390	643	O43315	AQP9_HUMAN
ENSP00000415838	15973		
ENSP00000348353	49		
ENSP00000394766	16511		
ENSP00000475647	28773		
ENSP00000425562	11300	P09132	SRP19_HUMAN
ENSP00000454473	44405		
ENSP00000392500	14291	Q8N2Q7	NLGN1_HUMAN
ENSP00000387894	15973		
ENSP00000435938	7545	P10242	MYB_HUMAN
ENSP00000466438	13490		
ENSP00000412054	18278		
ENSP00000407421	16511		
ENSP00000360839	8598	Q8TE04	PANK1_HUMAN
ENSP00000431693	7328	O43196	MSH5_HUMAN
ENSP00000398454	44405	F8WBI6	GOG8N_HUMAN
ENSP00000411986	15973	Q86UW9	DTX2_HUMAN
ENSP00000378887	24547	Q6IAN0	DRS7B_HUMAN
ENSP00000460526	22234		
ENSP00000411823	16511		
ENSP00000328835	29787	Q969P6	TOP1M_HUMAN
ENSP00000463385	8845		
ENSP00000372303	23950	Q96LI6	HSFY1_HUMAN
ENSP00000466288	13490		
ENSP00000392114	15973		
ENSP00000354541	14291	Q8N2Q7	NLGN1_HUMAN
ENSP00000360548	16511		
ENSP00000416216	44405		
ENSP00000462546	8845		
ENSP00000369271	7648		
ENSP00000407762	18386	Q6UW10	SFTA2_HUMAN
ENSP00000403342	15973		
ENSP00000377887	30708		
ENSP00000368135	16208	Q8WUT4	LRRN4_HUMAN
ENSP00000399639	15973		
ENSP00000467644	13490		
ENSP00000338288		Q8TAA1	RNS11_HUMAN
ENSP00000410374	14291		
ENSP00000463661	8845		
ENSP00000407468	925	O60909	B4GT2_HUMAN
ENSP00000458486	22234		
ENSP00000463591	24547		
ENSP00000352676	18224	Q9UGI0	ZRAN1_HUMAN
ENSP00000477006			
ENSP00000468357	13490		
ENSP00000314844	4204	Q06430	GNT2B_HUMAN
ENSP00000460533	7777		
ENSP00000399840	16511	Q92599	SEPT8_HUMAN
ENSP00000266079	15860	O94906	PRP6_HUMAN
ENSP00000455113	7777		
ENSP00000468555	13490		
ENSP00000468585	24547	Q6IAN0	DRS7B_HUMAN
ENSP00000454451	7777		
ENSP00000446216	15860	O94906	PRP6_HUMAN
ENSP00000445670	7777		
ENSP00000369254	7648	Q8NFP9	NBEA_HUMAN
ENSP00000306549	23950	Q96LI6	HSFY1_HUMAN
ENSP00000467596	13490		
ENSP00000358037	19706	Q6UY14	ATL4_HUMAN
ENSP00000456307	7777		
ENSP00000265012	4204	Q8NFS9	GNT2C_HUMAN
ENSP00000466480	13490		
ENSP00000364927	6813	Q9Y5V3	MAGD1_HUMAN
ENSP00000462139	24547		
ENSP00000409195	30708	P0C7X1	TBC3H_HUMAN
ENSP00000463588	24547		
ENSP00000349293	925	O60909	B4GT2_HUMAN
ENSP00000298784	28773	Q86V20	FA35A_HUMAN
ENSP00000441108	14291	Q8N2Q7	NLGN1_HUMAN
ENSP00000440951	7648		
ENSP00000385750	14291		
ENSP00000364874	6813	Q9Y5V3	MAGD1_HUMAN
ENSP00000383295	7648	Q8NFP9	NBEA_HUMAN
ENSP00000416784	7328		
ENSP00000424903	27012		
ENSP00000298786	28773	Q86V20	FA35A_HUMAN
ENSP00000392545	15973	Q86UW9	DTX2_HUMAN
ENSP00000424293	9872		
ENSP00000308534	7648		
ENSP00000402773	21666		
ENSP00000389288	4940	P04440	DPB1_HUMAN
ENSP00000428849	14467	Q8TE54	S26A7_HUMAN
ENSP00000247879	14910	Q9NYW6	TA2R3_HUMAN
ENSP00000341815	11194	P35713	SOX18_HUMAN
ENSP00000398783	4940		
ENSP00000382478	27012	Q6P5X5	CV039_HUMAN
ENSP00000432877	7545		
ENSP00000410892	15973		
ENSP00000349358	25322	Q8N999	CL029_HUMAN
ENSP00000345229	24456	Q8NFT8	DNER_HUMAN
ENSP00000337850	6404	Q9Y664	KPTN_HUMAN
ENSP00000451318	19269	Q8TAA1	RNS11_HUMAN
ENSP00000390497	10072	Q9UDY6	TRI10_HUMAN
ENSP00000428369	29787	Q969P6	TOP1M_HUMAN
ENSP00000264008	7777	Q12968	NFAC3_HUMAN
ENSP00000376407	27275	Q5T1B1	CJ091_HUMAN
ENSP00000447631	21666		
ENSP00000276609	14467	Q8TE54	S26A7_HUMAN
ENSP00000393952	18657	Q5SRH9	TT39A_HUMAN
ENSP00000323241	27275	Q5T1B1	CJ091_HUMAN
ENSP00000325333	6813	Q9Y5V3	MAGD1_HUMAN
ENSP00000310696	925	O60909	B4GT2_HUMAN
ENSP00000448383	21666	Q3MIW9	DPCR1_HUMAN
ENSP00000300737	11386	Q13586	STIM1_HUMAN
ENSP00000429169	29787	Q969P6	TOP1M_HUMAN
ENSP00000382474	27012	Q6P5X5	CV039_HUMAN
ENSP00000440233	7648	Q8NFP9	NBEA_HUMAN
ENSP00000451563	19269	Q8TAA1	RNS11_HUMAN
ENSP00000309504	14467	Q8TE54	S26A7_HUMAN
ENSP00000436208	11386		
ENSP00000421855	10931		
ENSP00000381093	19269	Q8TAA1	RNS11_HUMAN
ENSP00000429181	29787	Q969P6	TOP1M_HUMAN
ENSP00000434848	11386		
ENSP00000424027	10931		
ENSP00000361399	925	O60909	B4GT2_HUMAN
ENSP00000428747	14467		
ENSP00000433949	11386		
ENSP00000247881	14911	Q9NYW5	TA2R4_HUMAN
ENSP00000381092	19269	Q8TAA1	RNS11_HUMAN
ENSP00000431878	11386		
ENSP00000364847	6813	Q9Y5V3	MAGD1_HUMAN
ENSP00000305242	15973	Q86UW9	DTX2_HUMAN
ENSP00000470364	6404		
ENSP00000251900	10581	Q9UQR0	SCML2_HUMAN
ENSP00000434200	11386		
ENSP00000333064	27012	Q6P5X5	CV039_HUMAN
ENSP00000469446	6404		
ENSP00000398404	10072	Q9UDY6	TRI10_HUMAN
ENSP00000448194	25322	Q8N999	CL029_HUMAN
ENSP00000294981	6887	P49137	MAPK2_HUMAN
ENSP00000406144	18657	Q5SRH9	TT39A_HUMAN
ENSP00000395210	19269	Q8TAA1	RNS11_HUMAN
ENSP00000439212	27012	Q6P5X5	CV039_HUMAN
ENSP00000431191	11386		
ENSP00000447327	25322	Q8N999	CL029_HUMAN
ENSP00000283357	26335	Q96LP2	FA81B_HUMAN
ENSP00000432378	11386		
ENSP00000247883	14912	Q9NYW4	TA2R5_HUMAN
ENSP00000428727	29787		
ENSP00000432383	11386		
ENSP00000401398	19269		
ENSP00000393789	4940		
ENSP00000434723	7545	P10242	MYB_HUMAN
ENSP00000369251	6757	Q13394	MB211_HUMAN
ENSP00000451839	19269		
ENSP00000423648	26335		
ENSP00000320076	16356	Q495M9	USH1G_HUMAN
ENSP00000428451	29787		
ENSP00000441721	30708		
ENSP00000452412	19269		
ENSP00000448332	25322		
ENSP00000381126	10581		
ENSP00000449011	10072		
ENSP00000462568	16356		
ENSP00000327589	4336	P49448	DHE4_HUMAN
ENSP00000301891	18120	Q9NSA0	S22AB_HUMAN
ENSP00000415954	19269		
ENSP00000402018	25322	Q8N999	CL029_HUMAN
ENSP00000427998	29787		
ENSP00000432851	7545	P10242	MYB_HUMAN
ENSP00000423016	26335		
ENSP00000372654	637	P55087	AQP4_HUMAN
ENSP00000451466	19269		
ENSP00000416774	4940		
ENSP00000262675	18657		
ENSP00000383522	30708		
ENSP00000472291	6404		
ENSP00000462597	637	P55087	AQP4_HUMAN
ENSP00000434767	11386		
ENSP00000424883	26335		
ENSP00000356070	6887	P49137	MAPK2_HUMAN
ENSP00000429177	29787		
ENSP00000476537	19269		
ENSP00000300659	7777	Q12968	NFAC3_HUMAN
ENSP00000433266	11386		
ENSP00000393121	637	P55087	AQP4_HUMAN
ENSP00000288986	7664	P16333	NCK1_HUMAN
ENSP00000366809	18120	Q9NSA0	S22AB_HUMAN
ENSP00000423296	26335		
ENSP00000430139	29787		
ENSP00000432948	7545		
ENSP00000366804	18120		
ENSP00000435497	7545		
ENSP00000417273	7664	P16333	NCK1_HUMAN
ENSP00000421181	26335		
ENSP00000228827	30186	Q9UHW5	GPN3_HUMAN
ENSP00000360815	18657		
ENSP00000430679	29787		
ENSP00000422946	26335		
ENSP00000419302	7664		
ENSP00000435055	7545	P10242	MYB_HUMAN
ENSP00000430209	29787		
ENSP00000455776	12215		
ENSP00000419677	7664		
ENSP00000275300	10967	O75751	S22A3_HUMAN
ENSP00000442579	6404		
ENSP00000462075	637		
ENSP00000428723	29787		
ENSP00000436605	7545	P10242	MYB_HUMAN
ENSP00000418513	7664		
ENSP00000333401	14491	Q9NQ50	RM40_HUMAN
ENSP00000406456	28018	Q0D2K0	NIPA4_HUMAN
ENSP00000430635	29787		
ENSP00000348425	6619	P11150	LIPC_HUMAN
ENSP00000456556	12218		
ENSP00000443068	30186	Q9UHW5	GPN3_HUMAN
ENSP00000436659	18657		
ENSP00000428931	29787		
ENSP00000372656	637		
ENSP00000433844	7545		
ENSP00000448159	30186		
ENSP00000395569	6619		
ENSP00000331324	7777	Q12968	NFAC3_HUMAN
ENSP00000375989	10967		
ENSP00000305502	24103	Q9H1I8	ASCC2_HUMAN
ENSP00000417729	7664		
ENSP00000448335	30186		
ENSP00000456379	7777		
ENSP00000456018	12226		
ENSP00000358034	19706	Q6UY14	ATL4_HUMAN
ENSP00000456120	7777		
ENSP00000264926	18278	Q9NS91	RAD18_HUMAN
ENSP00000309166	9901	Q9BWF3	RBM4_HUMAN
ENSP00000419544	7664		
ENSP00000447480	30186		
ENSP00000401853	5321	Q12891	HYAL2_HUMAN
ENSP00000456320	12235		
ENSP00000293373	4862	P55160	NCKPL_HUMAN
ENSP00000360812	18657		
ENSP00000434816	7545		
ENSP00000311687	28018	Q0D2K0	NIPA4_HUMAN
ENSP00000322977	15831	P81877	SSBP2_HUMAN
ENSP00000402049	18278		
ENSP00000456644	12216		
ENSP00000413497	9901	Q9BWF3	RBM4_HUMAN
ENSP00000434795	7545		
ENSP00000394043	18120		
ENSP00000457441	7777		
ENSP00000474521	30186		
ENSP00000472698			
ENSP00000413508	18120		
ENSP00000419631	7664	P16333	NCK1_HUMAN
ENSP00000422961	15831	P81877	SSBP2_HUMAN
ENSP00000457445	12227		
ENSP00000393783	18278		
ENSP00000275364	4380	Q03113	GNA12_HUMAN
ENSP00000299022	6619	P11150	LIPC_HUMAN
ENSP00000432811	7545	P10242	MYB_HUMAN
ENSP00000418060	7664		
ENSP00000386561	9901	Q9BWF3	RBM4_HUMAN
ENSP00000426183	15831	P81877	SSBP2_HUMAN
ENSP00000454723	12217		
ENSP00000464349	9901		
ENSP00000295878	29272	Q8NCU4	K1407_HUMAN
ENSP00000430810	28018		
ENSP00000385222	16001	Q9HAC7	SUCHY_HUMAN
ENSP00000442770	30186	Q9UHW5	GPN3_HUMAN
ENSP00000262676	18657	Q5SRH9	TT39A_HUMAN
ENSP00000447246	4862		
ENSP00000397852	18278		
ENSP00000457823	12228		
ENSP00000425146	15831		
ENSP00000385935	4380		
ENSP00000399620	18278		
ENSP00000380250	10931	O00476	NPT4_HUMAN
ENSP00000424561	15831		
ENSP00000408532	18657		
ENSP00000454946	12236		
ENSP00000412261	18278		
ENSP00000386054	4380		
ENSP00000447683	4940		
ENSP00000435821	9901	Q9BWF3	RBM4_HUMAN
ENSP00000271643	19706	Q6UY14	ATL4_HUMAN
ENSP00000395002	6619		
ENSP00000363621	4116	Q14376	GALE_HUMAN
ENSP00000338475	16001	Q9HAC7	SUCHY_HUMAN
ENSP00000397045	4116		
ENSP00000454440	12229		
ENSP00000405803	18657		
ENSP00000355307	10931	O00476	NPT4_HUMAN
ENSP00000445596	4862	P55160	NCKPL_HUMAN
ENSP00000436925	7545		
ENSP00000353873	10931	O00476	NPT4_HUMAN
ENSP00000401187	16001		
ENSP00000388995	18657		
ENSP00000381680	9901	Q9BWF3	RBM4_HUMAN
ENSP00000350387	5321	Q12891	HYAL2_HUMAN
ENSP00000391462	4380		
ENSP00000370230	18657		
ENSP00000395000	16001		
ENSP00000465445	9388		
ENSP00000422301	9901		
ENSP00000457300	12237		
ENSP00000383830	18657		
ENSP00000393032	16001		
ENSP00000339122	20347	Q9H9C1	SPE39_HUMAN
ENSP00000437469	4380		
ENSP00000380160	4380		
ENSP00000432168	7545		
ENSP00000403031	24103		
ENSP00000434483	18657		
ENSP00000457196	12220		
ENSP00000434222	1176		
ENSP00000378571	5321	Q12891	HYAL2_HUMAN
ENSP00000433745	7545		
ENSP00000452181	20347	Q9H9C1	SPE39_HUMAN
ENSP00000358035	19706		
ENSP00000380877	24103	Q9H1I8	ASCC2_HUMAN
ENSP00000434675	7545		
ENSP00000398585	4116		
ENSP00000432453	18657		
ENSP00000423969	15831	P81877	SSBP2_HUMAN
ENSP00000414719	4116		
ENSP00000414545	24103		
ENSP00000450580	24211	Q5GAN4	RNS12_HUMAN
ENSP00000452191	20347	Q9H9C1	SPE39_HUMAN
ENSP00000397207	18657	Q5SRH9	TT39A_HUMAN
ENSP00000423572	9901		
ENSP00000424657	15831	P81877	SSBP2_HUMAN
ENSP00000457661	12246		
ENSP00000415480	16284	Q9C019	TRI15_HUMAN
ENSP00000432150	9901	Q9BWF3	RBM4_HUMAN
ENSP00000412237	5962	P22301	IL10_HUMAN
ENSP00000393359	4116		
ENSP00000436385	7545		
ENSP00000424729	10931		
ENSP00000262301	14154	Q96S06	LMF1_HUMAN
ENSP00000455171	12177		
ENSP00000432020	9901	Q9BWF3	RBM4_HUMAN
ENSP00000404815	20347	Q9H9C1	SPE39_HUMAN
ENSP00000391673	16284		
ENSP00000398257	4116		
ENSP00000343854	198	Q99965	ADAM2_HUMAN
ENSP00000313110	15363	Q8NH40	OR6S1_HUMAN
ENSP00000469886	44206	A6NC86	PINLY_HUMAN
ENSP00000418382	29272		
ENSP00000406657	5321	Q12891	HYAL2_HUMAN
ENSP00000312054	16001	Q9HAC7	SUCHY_HUMAN
ENSP00000397077	24103		
ENSP00000456115	12180		
ENSP00000386894	9901	Q9BWF3	RBM4_HUMAN
ENSP00000412382	24103		
ENSP00000434190	1176	Q13405	RM49_HUMAN
ENSP00000434420	7545		
ENSP00000413011	7545		
ENSP00000286364	9872	Q15283	RASA2_HUMAN
ENSP00000457623	44206	A6NC86	PINLY_HUMAN
ENSP00000415622	10931		
ENSP00000437177	1176		
ENSP00000417032	24103		
ENSP00000451857	20347		
ENSP00000455354	12178		
ENSP00000445521	16001		
ENSP00000420410	7125		
ENSP00000369182	198		
ENSP00000446761	16284		
ENSP00000399677	5321		
ENSP00000457369	44206	A6NC86	PINLY_HUMAN
ENSP00000398714	5321		
ENSP00000437481			
ENSP00000456636	12230		
ENSP00000418099	29272		
ENSP00000425446	9901		
ENSP00000409642	5321		
ENSP00000458077	12238		
ENSP00000418991	29272		
ENSP00000398494	14516	Q9Y676	RT18B_HUMAN
ENSP00000463837	19657	Q7RTS6	OTOP2_HUMAN
ENSP00000358031	32041	Q5T5F5	A4AS1_HUMAN
ENSP00000435578	7545	P10242	MYB_HUMAN
ENSP00000358857	3331	P50402	EMD_HUMAN
ENSP00000414656	5321		
ENSP00000410531	24103		
ENSP00000360313	4573		
ENSP00000435595	7545		
ENSP00000265708	198	Q99965	ADAM2_HUMAN
ENSP00000414202	29195	Q9UPN7	PP6R1_HUMAN
ENSP00000419159	29272		
ENSP00000434917	7545		
ENSP00000351410	9388	P10644	KAP0_HUMAN
ENSP00000279242	1176	Q13405	RM49_HUMAN
ENSP00000405855	5321		
ENSP00000456310	44206	A6NC86	PINLY_HUMAN
ENSP00000456495	12221		
ENSP00000335620	4626	P08263	GSTA1_HUMAN
ENSP00000332528	19657	Q7RTS6	OTOP2_HUMAN
ENSP00000436740	1176		
ENSP00000452245	10047	P34096	RNAS4_HUMAN
ENSP00000369332	11411	O76039	CDKL5_HUMAN
ENSP00000360311	4573		
ENSP00000467521	29195	Q9UPN7	PP6R1_HUMAN
ENSP00000358850	3331		
ENSP00000429352	198		
ENSP00000434052	1176		
ENSP00000422756	15831		
ENSP00000433458	7545		
ENSP00000464715	9388		
ENSP00000408930	24103		
ENSP00000452176	20347		
ENSP00000448307	16284		
ENSP00000455604	12231		
ENSP00000443820	14154		
ENSP00000280325	30527	Q8IXP5	CK053_HUMAN
ENSP00000398781	14516		
ENSP00000359098	2288		
ENSP00000313098	20347	Q9H9C1	SPE39_HUMAN
ENSP00000446381	29272		
ENSP00000435293	7545	P10242	MYB_HUMAN
ENSP00000381081	10047	P34096	RNAS4_HUMAN
ENSP00000425760	9901	Q9BWF3	RBM4_HUMAN
ENSP00000455665	12222		
ENSP00000369325	11411	O76039	CDKL5_HUMAN
ENSP00000466722	9388		
ENSP00000451624	10047	P34096	RNAS4_HUMAN
ENSP00000437264	7545	P10242	MYB_HUMAN
ENSP00000437570	24103	Q9H1I8	ASCC2_HUMAN
ENSP00000416097	4425	Q08379	GOGA2_HUMAN
ENSP00000454614	12232		
ENSP00000258091	1622	Q99832	TCPH_HUMAN
ENSP00000343000	5990	Q9UHD0	IL19_HUMAN
ENSP00000476265	4425		
ENSP00000437418	14154		
ENSP00000464977	9388	P10644	KAP0_HUMAN
ENSP00000377001	11254	O43791	SPOP_HUMAN
ENSP00000466332	29195		
ENSP00000412189	21731	Q8N0Y7	PGAM4_HUMAN
ENSP00000454222	12240		
ENSP00000297767	29211	A4D1T9	PRS37_HUMAN
ENSP00000437253	33789	Q6ZS62	COLC1_HUMAN
ENSP00000307096	10047	P34096	RNAS4_HUMAN
ENSP00000347601	33789	Q6ZS62	COLC1_HUMAN
ENSP00000455930	14154		
ENSP00000472250	24868	Q8WZA9	IRGQ_HUMAN
ENSP00000391677	9872	Q15283	RASA2_HUMAN
ENSP00000455752	12223		
ENSP00000401081	3331		
ENSP00000438980	33789	Q6ZS62	COLC1_HUMAN
ENSP00000470686	24868		
ENSP00000359106	2288		
ENSP00000458135	14154		
ENSP00000270218	5990	Q9UHD0	IL19_HUMAN
ENSP00000455168	12233		
ENSP00000321334	6667	P08519	APOA_HUMAN
ENSP00000449909	17358		
ENSP00000348157	7125	P58340	MLF1_HUMAN
ENSP00000395608	6667	P08519	APOA_HUMAN
ENSP00000455288	12241		
ENSP00000376474	9388		
ENSP00000455162	14154		
ENSP00000387535	24868	Q8WZA9	IRGQ_HUMAN
ENSP00000398810	29211		
ENSP00000425905	11254	O43791	SPOP_HUMAN
ENSP00000445625	9388	P10644	KAP0_HUMAN
ENSP00000434209	24693		
ENSP00000454672	14154		
ENSP00000414461	29211	A4D1T9	PRS37_HUMAN
ENSP00000435270	24693		
ENSP00000464701	9388		
ENSP00000457801	12224		
ENSP00000217289	15889	Q9BQL6	FERM1_HUMAN
ENSP00000421969	2288		
ENSP00000412996	1622		
ENSP00000380178	12482	P62253	UB2G1_HUMAN
ENSP00000395287	29211		
ENSP00000467500	9388		
ENSP00000409271	4425		
ENSP00000341680	17328	Q96EV8	DTBP1_HUMAN
ENSP00000368121	15889		
ENSP00000401817			
ENSP00000390460	7545	P10242	MYB_HUMAN
ENSP00000457365	12234		
ENSP00000425951	2288		
ENSP00000467311	9388		
ENSP00000432042	7545		
ENSP00000459691	12482		
ENSP00000381456	1622	Q99832	TCPH_HUMAN
ENSP00000455833	14154		
ENSP00000319831	2760	Q9H4E7	DEFI6_HUMAN
ENSP00000466649	9388		
ENSP00000434938	26978	A8K830	COLC2_HUMAN
ENSP00000422979	2288		
ENSP00000458253	12482		
ENSP00000457761	12242		
ENSP00000467867	9388		
ENSP00000415357	2760		
ENSP00000456631	14154		
ENSP00000369320	10457	O15537	XLRS1_HUMAN
ENSP00000423432	2288		
ENSP00000455754	15783		
ENSP00000459847	12482		
ENSP00000466459	9388	P10644	KAP0_HUMAN
ENSP00000427239	17328		
ENSP00000455715	14154		
ENSP00000381115	26978	A8K830	COLC2_HUMAN
ENSP00000402619	29321		
ENSP00000467502	12482		
ENSP00000421193	2288		
ENSP00000356065	6002	Q9NYY1	IL20_HUMAN
ENSP00000457725	14154		
ENSP00000411598	4425		
ENSP00000465013	9388		
ENSP00000456230	12225		
ENSP00000459485	12482		
ENSP00000326328	7545		
ENSP00000386978	1622		
ENSP00000434519	26978	A8K830	COLC2_HUMAN
ENSP00000420908	11254	O43791	SPOP_HUMAN
ENSP00000371126	23438	Q8IVF1	NTM2A_HUMAN
ENSP00000468106	9388		
ENSP00000448909			
ENSP00000473603	4425		
ENSP00000456753	12243		
ENSP00000356063	6002	Q9NYY1	IL20_HUMAN
ENSP00000442166	2760		
ENSP00000466314	9388		
ENSP00000441063	15889		
ENSP00000417835	7125	P58340	MLF1_HUMAN
ENSP00000371107	23438	Q8IVF1	NTM2A_HUMAN
ENSP00000455526	12188		
ENSP00000375796	6002		
ENSP00000465740	9388		
ENSP00000382737	14154		
ENSP00000455129	12179		
ENSP00000361162	15954	Q96GM8	TOE1_HUMAN
ENSP00000230459	2288	P14406	CX7A2_HUMAN
ENSP00000376475	9388	P10644	KAP0_HUMAN
ENSP00000446322	14154		
ENSP00000454504	12182		
ENSP00000375827	28357	Q9H609	ZN576_HUMAN
ENSP00000423284	11254		
ENSP00000352025	7125	P58340	MLF1_HUMAN
ENSP00000424685	17328		
ENSP00000469892			
ENSP00000287777	30372	Q2TBA0	KLH40_HUMAN
ENSP00000426986	11254		
ENSP00000436182	28357	Q9H609	ZN576_HUMAN
ENSP00000420960	11254		
ENSP00000419636	7125		
ENSP00000456947	12185		
ENSP00000442058	1622	Q99832	TCPH_HUMAN
ENSP00000456681	12186		
ENSP00000425495	17328		
ENSP00000437824	1622	Q99832	TCPH_HUMAN
ENSP00000366390	32681	Q5MJ68	SPDYC_HUMAN
ENSP00000437222	30706		
ENSP00000464577	19658		
ENSP00000369223	2700	O15075	DCLK1_HUMAN
ENSP00000419637	7125		
ENSP00000355891	9071		
ENSP00000346065	21339	O60522	TDRD6_HUMAN
ENSP00000370571	11782	P07101	TY3H_HUMAN
ENSP00000435899	28357	Q9H609	ZN576_HUMAN
ENSP00000397165	21339		
ENSP00000419775	7125		
ENSP00000337998	29321	Q9HCH0	NCK5L_HUMAN
ENSP00000425604	11254		
ENSP00000260408	188	O14672	ADA10_HUMAN
ENSP00000420134	7125	P58340	MLF1_HUMAN
ENSP00000435934	28357	Q9H609	ZN576_HUMAN
ENSP00000426262	11254		
ENSP00000443299	21339	O60522	TDRD6_HUMAN
ENSP00000298130	20361	Q969W0	SPTSA_HUMAN
ENSP00000370567	11782	P07101	TY3H_HUMAN
ENSP00000424119	11254		
ENSP00000420133	8943		
ENSP00000376266	1470	Q96RR4	KKCC2_HUMAN
ENSP00000444379	1622		
ENSP00000426537	11254		
ENSP00000293894	11203	P57073	SOX8_HUMAN
ENSP00000386056	188		
ENSP00000438900	15954		
ENSP00000424357	17328		
ENSP00000325951	11782	P07101	TY3H_HUMAN
ENSP00000418595	7125	P58340	MLF1_HUMAN
ENSP00000452639	188		
ENSP00000422609	11254		
ENSP00000376786	9211	Q16633	OBF1_HUMAN
ENSP00000421797	17328		
ENSP00000319992	16823	P17152	TMM11_HUMAN
ENSP00000328090	19658	Q7RTS5	OTOP3_HUMAN
ENSP00000435463	28357	Q9H609	ZN576_HUMAN
ENSP00000407545	13085	O15209	ZBT22_HUMAN
ENSP00000417141	7125	P58340	MLF1_HUMAN
ENSP00000376147	25049	Q6NXE6	ARMC6_HUMAN
ENSP00000434912			
ENSP00000438462	1622		
ENSP00000425410	11254		
ENSP00000413172	13085		
ENSP00000355090	15783	Q6P4F7	RHGBA_HUMAN
ENSP00000338615	2495	P56545	CTBP2_HUMAN
ENSP00000417777	7125	P58340	MLF1_HUMAN
ENSP00000427419	11254		
ENSP00000404403	13085	O15209	ZBT22_HUMAN
ENSP00000419241	7125		
ENSP00000433527	9211		
ENSP00000435481			
ENSP00000423076	11254		
ENSP00000344718	17328	Q96EV8	DTBP1_HUMAN
ENSP00000454575	15783	Q6P4F7	RHGBA_HUMAN
ENSP00000417278	7125		
ENSP00000419719	31412		
ENSP00000337852	28357	Q9H609	ZN576_HUMAN
ENSP00000454964	11334		
ENSP00000376568	7125	P58340	MLF1_HUMAN
ENSP00000361989	31412		
ENSP00000300187	30706	Q96JA4	M4A14_HUMAN
ENSP00000456078	15783		
ENSP00000424202	17328		
ENSP00000457376	11475	Q15527	SURF2_HUMAN
ENSP00000311825	2495	P56545	CTBP2_HUMAN
ENSP00000357583	6076	Q14642	I5P1_HUMAN
ENSP00000427473	17328		
ENSP00000377004	11254	O43791	SPOP_HUMAN
ENSP00000380680	11334	P35346	SSR5_HUMAN
ENSP00000456542	188		
ENSP00000240327	11254	O43791	SPOP_HUMAN
ENSP00000378453	30706	Q96JA4	M4A14_HUMAN
ENSP00000440073	15783		
ENSP00000075120	11007	P11169	GTR3_HUMAN
ENSP00000357582	6076		
ENSP00000390936	6076		
ENSP00000366790	17989	Q96S37	S22AC_HUMAN
ENSP00000293897	11334	P35346	SSR5_HUMAN
ENSP00000435764	30706		
ENSP00000455593	15783		
ENSP00000444156	25049	Q6NXE6	ARMC6_HUMAN
ENSP00000357816	2495		
ENSP00000255448	2700	O15075	DCLK1_HUMAN
ENSP00000348183	17328		
ENSP00000340707	6076		
ENSP00000353846	2700	O15075	DCLK1_HUMAN
ENSP00000476650	31412		
ENSP00000475005	21899		
ENSP00000434630	2495	P56545	CTBP2_HUMAN
ENSP00000453952	188		
ENSP00000441948	25049		
ENSP00000437003	30706		
ENSP00000477295	31412		
ENSP00000434649	30706		
ENSP00000250454	19312	Q56P03	EAPP_HUMAN
ENSP00000442263	25049		
ENSP00000434271	30706		
ENSP00000436285	2495	P56545	CTBP2_HUMAN
ENSP00000358022	6943	Q07820	MCL1_HUMAN
ENSP00000473897	21899		
ENSP00000450908	19312		
ENSP00000446209	25049		
ENSP00000433761	30706		
ENSP00000410474	2495	P56545	CTBP2_HUMAN
ENSP00000393011	12962	Q12899	TRI26_HUMAN
ENSP00000390749	6076		
ENSP00000475202	21899		
ENSP00000325831	11782		
ENSP00000321230	1470	Q96RR4	KKCC2_HUMAN
ENSP00000378131	5394		
ENSP00000360297	4573	P42263	GRIA3_HUMAN
ENSP00000475737	21899	Q674R7	ATG9B_HUMAN
ENSP00000366797	17989	Q96S37	S22AC_HUMAN
ENSP00000391930	188		
ENSP00000411469	31412		
ENSP00000452439	19312		
ENSP00000330426	31374	P60827	C1QT8_HUMAN
ENSP00000403440	11782		
ENSP00000321625	24030	A9UHW6	MI4GD_HUMAN
